Dataset,Group,Model,Category,TNNT-Category,Possible,Actual,Wrong,Total,Error,Precision,Recall,Fm__PR,Fm_2PR,Fm_P2R,Undergeneration,Overgeneration,Substitution
"GUM","gs18","deeppavlov_onto_bert_model","NORP","tnnt:NORP",6293,90,6288.50,6321,0.994858,0.361111,0.005164,0.010183,0.024425,0.006433,0.990148,0.311111,0.524194
"GUM","gs18","deeppavlov_onto_bert_model","LANGUAGE","tnnt:Language",5723,10,5718.50,5725,0.998865,0.650000,0.001136,0.002268,0.005639,0.001419,0.998602,0.200000,0.812500
"GUM","gs18","deeppavlov_onto_model","LANGUAGE","tnnt:Language",5704,10,5701.50,5707,0.999036,0.550000,0.000964,0.001925,0.004788,0.001205,0.998773,0.300000,0.785714
"GUM","gs18","deeppavlov_onto_model","LAW","tnnt:Law",8448,6,8445.50,8448,0.999704,0.416667,0.000296,0.000591,0.001475,0.000370,0.999290,0.000000,0.416667
"GUM","gs18","deeppavlov_onto_model","FAC","tnnt:FAC",4895,122,4852.00,4919,0.986379,0.549180,0.013687,0.026709,0.062233,0.017003,0.979980,0.196721,0.683673
"GUM","gs18","deeppavlov_onto_bert_model","MONEY","tnnt:Money",121,12,116.50,123,0.947154,0.541667,0.053719,0.097744,0.192308,0.065524,0.917355,0.166667,0.650000
"GUM","gs18","deeppavlov_onto_bert_model","DATE","tnnt:Date",576,322,416.00,625,0.665600,0.649068,0.362847,0.465479,0.560622,0.397944,0.526042,0.152174,0.765568
"GUM","gs18","deeppavlov_onto_bert_model","LAW","tnnt:Law",8504,5,8500.50,8504,0.999588,0.700000,0.000412,0.000823,0.002053,0.000514,0.999412,0.000000,0.700000
"GUM","gs18","deeppavlov_onto_model","DATE","tnnt:Date",564,349,404.00,625,0.646400,0.633238,0.391844,0.484118,0.563776,0.424184,0.489362,0.174785,0.767361
"GUM","gs18","deeppavlov_onto_model","CARDINAL","tnnt:Cardinal",265,208,226.50,307,0.737785,0.387019,0.303774,0.340381,0.366910,0.317429,0.373585,0.201923,0.484940
"GUM","gs18","deeppavlov_onto_bert_model","CARDINAL","tnnt:Cardinal",239,175,221.50,286,0.774476,0.368571,0.269874,0.311594,0.343450,0.285146,0.464435,0.268571,0.503906
"GUM","gs18","deeppavlov_onto_model","TIME","tnnt:Time",342,77,301.50,353,0.854108,0.668831,0.150585,0.245823,0.396154,0.178201,0.807018,0.142857,0.780303
"GUM","gs18","deeppavlov_onto_bert_model","TIME","tnnt:Time",371,89,341.00,392,0.869898,0.573034,0.137466,0.221739,0.350757,0.162111,0.816712,0.235955,0.750000
"GUM","gs18","deeppavlov_onto_model","PERCENT","tnnt:Percent",112,16,105.50,115,0.917391,0.593750,0.084821,0.148438,0.269886,0.102371,0.883929,0.187500,0.730769
"GUM","gs18","deeppavlov_onto_bert_model","PERCENT","tnnt:Percent",125,17,118.00,128,0.921875,0.588235,0.080000,0.140845,0.259067,0.096712,0.888000,0.176471,0.714286
"GUM","gs18","deeppavlov_onto_model","MONEY","tnnt:Money",103,4,100.00,103,0.970874,0.750000,0.029126,0.056075,0.126050,0.036058,0.961165,0.000000,0.750000
"GUM","gs18","deeppavlov_onto_model","QUANTITY","tnnt:Quantity",8881,54,8855.00,8886,0.996511,0.574074,0.003491,0.006939,0.017039,0.004357,0.994483,0.092593,0.632653
"GUM","gs18","deeppavlov_onto_bert_model","QUANTITY","tnnt:Quantity",8960,62,8932.50,8966,0.996264,0.540323,0.003739,0.007426,0.018191,0.004665,0.993750,0.096774,0.598214
"GUM","gs18","deeppavlov_onto_model","ORDINAL","tnnt:Ordinal",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"GUM","gs18","deeppavlov_onto_bert_model","ORDINAL","tnnt:Ordinal",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"GUM","sc7","stanford_class7_model","LOCATION","tnnt:FGL",4168,345,4016.50,4219,0.952003,0.586957,0.048584,0.089741,0.182498,0.059499,0.929463,0.147826,0.688776
"GUM","ss4","stanford_class4_model","ORGANIZATION","tnnt:Organisation",2692,510,2694.50,2864,0.940817,0.332353,0.062964,0.105871,0.179100,0.075146,0.874443,0.337255,0.501479
"GUM","nl5","nltk_model","ORGANIZATION","tnnt:Organisation",2623,523,2720.50,2853,0.953558,0.253346,0.050515,0.084234,0.140509,0.060145,0.888296,0.439771,0.452218
"GUM","ss4","bert_model","MISC","tnnt:NPLLE",6004,361,5854.50,6041,0.969128,0.516620,0.031063,0.058602,0.125201,0.038253,0.946036,0.102493,0.575617
"GUM","ss4","flair_model","PER","tnnt:Person",5764,379,5531.50,5779,0.957173,0.653034,0.042939,0.080580,0.169986,0.052806,0.936849,0.039578,0.679945
"GUM","ss4","flair_fast_model","PER","tnnt:Person",5817,392,5589.00,5838,0.957348,0.635204,0.042806,0.080206,0.168585,0.052620,0.936221,0.053571,0.671159
"GUM","ss4","flair_pooled_model","ORG","tnnt:Organisation",2606,412,2575.50,2734,0.942026,0.384709,0.060821,0.105036,0.186295,0.073136,0.891021,0.310680,0.558099
"GUM","ss4","allennlp_ner","ORG","tnnt:Organisation",2460,268,2419.00,2534,0.954617,0.429104,0.046748,0.084311,0.162797,0.056886,0.921138,0.276119,0.592784
"GUM","bs3","polyglot_model","PER","tnnt:Person",4229,419,3997.00,4251,0.940249,0.606205,0.060061,0.109294,0.215072,0.073262,0.906124,0.052506,0.639798
"GUM","ss4","stanford_class4_model","LOCATION","tnnt:FGL",3870,426,3725.50,3950,0.943165,0.526995,0.058010,0.104516,0.201381,0.070571,0.910594,0.187793,0.648844
"GUM","bs3","stanford_class3_model","LOCATION","tnnt:FGL",4176,387,4002.00,4231,0.945876,0.591731,0.054837,0.100373,0.200035,0.066994,0.920498,0.142119,0.689759
"GUM","gs18","stanza_model","GPE","tnnt:GPE",3496,319,3351.50,3543,0.945950,0.600313,0.054777,0.100393,0.200650,0.066944,0.922197,0.147335,0.704044
"GUM","gs18","spacy_sm_model","GPE","tnnt:GPE",1312,284,1189.50,1352,0.879808,0.572183,0.123857,0.203634,0.331904,0.146873,0.814024,0.140845,0.665984
"GUM","gs18","spacy_md_model","GPE","tnnt:GPE",3523,303,3394.50,3575,0.949510,0.595710,0.051235,0.094354,0.190602,0.062695,0.928754,0.171617,0.719124
