Dataset,Group,Model,Category,TNNT-Category,Possible,Actual,Wrong,Total,Error,Precision,Recall,Fm__PR,Fm_2PR,Fm_P2R,Undergeneration,Overgeneration,Substitution
"BTC","gs18","deeppavlov_onto_bert_model","PERCENT","tnnt:Percent",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"BTC","gs18","deeppavlov_onto_model","MONEY","tnnt:Money",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"BTC","gs18","deeppavlov_onto_model","QUANTITY","tnnt:Quantity",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"BTC","sc7","stanford_class7_model","LOCATION","tnnt:FGL",2096,616,1677.50,2128,0.788299,0.731331,0.214933,0.332227,0.493969,0.250278,0.721374,0.051948,0.771404
"BTC","ss4","stanford_class4_model","LOCATION","tnnt:FGL",2059,997,1591.50,2185,0.728375,0.595286,0.288247,0.388416,0.490739,0.321401,0.576979,0.126379,0.681401
"BTC","bs3","stanford_class3_model","LOCATION","tnnt:FGL",2194,673,1706.50,2227,0.766278,0.773403,0.237238,0.363097,0.532644,0.275426,0.708295,0.049034,0.813281
"BTC","gs18","stanza_model","PERSON","tnnt:Person",5734,2378,4535.50,6098,0.743768,0.657065,0.272497,0.385232,0.512429,0.308624,0.648762,0.153070,0.775819
"BTC","gs18","spacy_sm_model","ORG","tnnt:Organisation",2203,1950,2024.50,2764,0.732453,0.379231,0.335679,0.356128,0.369639,0.343570,0.369496,0.287692,0.532397
"BTC","gs18","spacy_md_model","ORG","tnnt:Organisation",2757,2375,2654.50,3531,0.751770,0.369053,0.317918,0.341582,0.357551,0.326979,0.419296,0.325895,0.547470
"BTC","gs18","spacy_lg_model","GPE","tnnt:GPE",490,490,490.00,490,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","nl5","nltk_model","PERSON","tnnt:Person",6052,3171,5943.50,7215,0.823770,0.400978,0.210096,0.275724,0.339320,0.232204,0.668209,0.366761,0.633217
"BTC","ss4","bert_model","LOC","tnnt:FGL",1413,948,754.00,1472,0.512228,0.757384,0.508139,0.608217,0.689721,0.543939,0.370842,0.062236,0.807649
"BTC","ss4","flair_model","ORG","tnnt:Organisation",2978,1412,2546.50,3274,0.777795,0.515227,0.244291,0.331435,0.421690,0.273004,0.625252,0.209632,0.651882
"BTC","gs18","flair_ontonotes_model","ORG","tnnt:Organisation",3414,1602,2958.00,3770,0.784615,0.506866,0.237844,0.323764,0.413358,0.266090,0.635032,0.222222,0.651685
"BTC","ss4","flair_fast_model","ORG","tnnt:Organisation",3669,2199,3315.50,4255,0.779201,0.427240,0.256064,0.320211,0.376855,0.278370,0.560371,0.266485,0.582455
"BTC","gs18","flair_fast_ontonotes_model","GPE","tnnt:GPE",469,469,469.00,469,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","ss4","flair_pooled_model","ORG","tnnt:Organisation",3758,1951,3341.00,4215,0.792645,0.447975,0.232571,0.306183,0.377962,0.257316,0.602448,0.234239,0.585007
"BTC","ss4","allennlp_ner","LOC","tnnt:FGL",1794,1087,1189.50,1913,0.621798,0.665593,0.403289,0.502256,0.588978,0.437795,0.460424,0.109476,0.747417
"BTC","bs3","polyglot_model","LOC","tnnt:FGL",1347,812,910.00,1446,0.629322,0.660099,0.397921,0.496526,0.583243,0.432258,0.470676,0.121921,0.751753
"BTC","gs18","spacy_sm_model","PERSON","tnnt:Person",3069,2348,2500.50,3700,0.675811,0.510860,0.390844,0.442865,0.481302,0.410114,0.440534,0.268739,0.698602
"BTC","gs18","spacy_lg_model","ORG","tnnt:Organisation",2818,2399,2761.50,3655,0.755540,0.372447,0.317069,0.342534,0.359876,0.326787,0.445706,0.348895,0.572023
"BTC","ss4","bert_model","MISC","tnnt:NPLLE",262,262,262.00,262,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","ss4","flair_model","MISC","tnnt:NPLLE",202,202,202.00,202,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","ss4","flair_fast_model","MISC","tnnt:NPLLE",183,183,183.00,183,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
