Dataset,Group,Model,Category,TNNT-Category,Possible,Actual,Wrong,Total,Error,Precision,Recall,Fm__PR,Fm_2PR,Fm_P2R,Undergeneration,Overgeneration,Substitution
"feng","nl5","nltk_model","ORGANIZATION","tnnt:Organisation",11771,3864,9961.50,12096,0.823537,0.552407,0.181335,0.273041,0.391982,0.209478,0.699346,0.084110,0.603136
"feng","nl5","nltk_model","PERSON","tnnt:Person",11513,8611,7683.50,12489,0.615221,0.558065,0.417398,0.477589,0.522826,0.439557,0.336837,0.113343,0.629404
"feng","nl5","nltk_model","GPE","tnnt:GPE",10797,2585,8903.00,10936,0.814100,0.786460,0.188293,0.303841,0.480910,0.222074,0.773456,0.053772,0.831153
"feng","ss4","bert_model","LOC","tnnt:FGL",7344,4470,4350.00,7487,0.581007,0.701790,0.427151,0.531065,0.621828,0.463423,0.410812,0.031991,0.724983
"feng","ss4","bert_model","PER","tnnt:Person",7491,5649,3810.00,7819,0.487275,0.709683,0.535176,0.610198,0.666235,0.562856,0.289681,0.058063,0.753430
"feng","ss4","bert_model","ORG","tnnt:Organisation",5998,3507,4017.00,6265,0.641181,0.641004,0.374792,0.473014,0.561270,0.408742,0.459820,0.076133,0.693827
"feng","gs18","stanza_model","ORG","tnnt:Organisation",12211,4074,10080.50,12474,0.808121,0.587506,0.196012,0.293951,0.419809,0.226152,0.687904,0.064556,0.628050
"feng","gs18","stanza_model","GPE","tnnt:GPE",9198,2662,7221.00,9319,0.774869,0.788129,0.228093,0.353794,0.528570,0.265879,0.723744,0.045455,0.825659
"feng","gs18","stanza_model","FAC","tnnt:FAC",557,341,638.00,684,0.932749,0.134897,0.082585,0.102450,0.119729,0.089529,0.615799,0.372434,0.214953
"feng","ss4","bert_model","MISC","tnnt:NPLLE",2252,2407,1748.00,2666,0.655664,0.381388,0.407638,0.394076,0.386364,0.402102,0.115009,0.171998,0.460612
"feng","gs18","stanza_model","NORP","tnnt:NORP",736,732,519.00,858,0.604895,0.463115,0.460598,0.461853,0.462609,0.461099,0.171196,0.166667,0.555738
"feng","gs18","stanza_model","PRODUCT","tnnt:Product",488,276,575.50,619,0.929725,0.157609,0.089139,0.113874,0.136621,0.097621,0.702869,0.474638,0.300000
"feng","nl5","nltk_model","FACILITY","tnnt:FO",9128,68,9096.00,9133,0.995949,0.544118,0.004053,0.008047,0.019681,0.005057,0.993098,0.073529,0.587302
"feng","gs18","stanza_model","LOC","tnnt:Location",300,300,300.00,300,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","stanza_model","WORK_OF_ART","tnnt:WorkOfArt",462,236,524.50,579,0.905872,0.230932,0.117965,0.156160,0.193812,0.130758,0.742424,0.495763,0.457983
"feng","gs18","stanza_model","CARDINAL","tnnt:Cardinal",117,117,117.00,117,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","stanza_model","EVENT","tnnt:Event",465,448,467.00,616,0.758117,0.332589,0.320430,0.326396,0.330084,0.322790,0.361290,0.337054,0.501684
"feng","nl5","nltk_model","LOCATION","tnnt:Location",137,137,137.00,137,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","stanza_model","DATE","tnnt:Date",7792,3124,5926.50,7919,0.748390,0.637804,0.255711,0.365060,0.491054,0.290520,0.615375,0.040653,0.664831
"feng","gs18","stanza_model","TIME","tnnt:Time",69,69,69.00,69,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","stanza_model","LAW","tnnt:Law",440,147,452.00,490,0.922449,0.258503,0.086364,0.129472,0.184825,0.099633,0.779545,0.340136,0.391753
"feng","gs18","stanza_model","LANGUAGE","tnnt:Language",357,15,348.00,358,0.972067,0.666667,0.028011,0.053763,0.119904,0.034650,0.960784,0.066667,0.714286
"feng","gs18","stanza_model","QUANTITY","tnnt:Quantity",2,2,2.00,2,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","stanza_model","ORDINAL","tnnt:Ordinal",45,45,45.00,45,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","stanza_model","PERCENT","tnnt:Percent",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"feng","gs18","stanza_model","MONEY","tnnt:Money",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"feng","gs18","spacy_sm_model","PERSON","tnnt:Person",10880,6371,7641.50,11567,0.660629,0.616151,0.360800,0.455104,0.539751,0.393408,0.477574,0.107832,0.690623
"feng","gs18","spacy_md_model","PERSON","tnnt:Person",10844,6358,7333.50,11428,0.641713,0.643992,0.377582,0.476049,0.564354,0.411640,0.467540,0.091853,0.709127
"feng","gs18","spacy_lg_model","PERSON","tnnt:Person",12316,6152,8803.00,12854,0.684845,0.658485,0.328922,0.438705,0.548559,0.365508,0.544170,0.087451,0.721589
"feng","gs18","spacy_sm_model","GPE","tnnt:GPE",7774,2542,6194.50,7996,0.774700,0.708694,0.231734,0.349263,0.502034,0.267778,0.701569,0.087333,0.776509
"feng","gs18","spacy_md_model","GPE","tnnt:GPE",8341,2461,6553.00,8449,0.775595,0.770419,0.227311,0.351046,0.521309,0.264620,0.717900,0.043885,0.805780
"feng","gs18","spacy_lg_model","GPE","tnnt:GPE",9139,2449,7470.00,9295,0.803658,0.745202,0.199694,0.314981,0.481912,0.233944,0.749097,0.063699,0.795901
"feng","gs18","spacy_lg_model","ORG","tnnt:Organisation",11952,4622,9948.50,12380,0.803595,0.526071,0.203439,0.293411,0.399392,0.231881,0.649096,0.092601,0.579757
"feng","gs18","spacy_md_model","ORG","tnnt:Organisation",10924,4519,8884.50,11305,0.785891,0.535627,0.221576,0.313475,0.417328,0.251011,0.621201,0.084311,0.584944
"feng","gs18","spacy_sm_model","ORG","tnnt:Organisation",9445,4776,7376.00,9828,0.750509,0.513400,0.259608,0.344842,0.429437,0.288091,0.534886,0.080193,0.558161
